amount,Hoeveelheid,: classes/includes/class-wc-gateway-wirecard-poipia.php:263
bank_label,Bank
bic,BIC,": classes/includes/class-wc-gateway-wirecard-eps.php:183, : classes/includes/class-wc-gateway-wirecard-poipia.php:265, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:273"
birthdate_input,Geboortedatum,: classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:424
canceled_payment_process,U heeft de betalingsprocedure geannuleerd.,: classes/includes/class-wc-wirecard-payment-gateway.php:201
capture_invoice_comment,Vastgelegd online bedrag van %1. Transactie-ID: %2.
config_additional_info,Bijkomende informatie versturen,": classes/includes/class-wc-gateway-wirecard-alipay-crossborder.php:163, : classes/includes/class-wc-gateway-wirecard-creditcard.php:281, : classes/includes/class-wc-gateway-wirecard-eps.php:161, : classes/includes/class-wc-gateway-wirecard-giropay.php:162, : classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:215, : classes/includes/class-wc-gateway-wirecard-ideal.php:167, : classes/includes/class-wc-gateway-wirecard-paypal.php:183, : classes/includes/class-wc-gateway-wirecard-poipia.php:172, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:206, : classes/includes/class-wc-gateway-wirecard-sofort.php:159"
config_base_url,Wirecard serveradres (URL),": classes/includes/class-wc-gateway-wirecard-alipay-crossborder.php:124, : classes/includes/class-wc-gateway-wirecard-creditcard.php:157, : classes/includes/class-wc-gateway-wirecard-eps.php:128, : classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:133, : classes/includes/class-wc-gateway-wirecard-ideal.php:128, : classes/includes/class-wc-gateway-wirecard-paypal.php:126, : classes/includes/class-wc-gateway-wirecard-poipia.php:123, : classes/includes/class-wc-gateway-wirecard-sepa-credit-transfer.php:123, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:127, : classes/includes/class-wc-gateway-wirecard-sofort.php:126, : classes/includes/class-wc-gateway-wirecard-unionpay-international.php:126"
config_base_url_desc,Wirecard serveradres (URL)  (bv. https://api.wirecard.com).,": classes/includes/class-wc-gateway-wirecard-alipay-crossborder.php:126, : classes/includes/class-wc-gateway-wirecard-creditcard.php:159, : classes/includes/class-wc-gateway-wirecard-eps.php:130, : classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:135, : classes/includes/class-wc-gateway-wirecard-ideal.php:130, : classes/includes/class-wc-gateway-wirecard-paypal.php:128, : classes/includes/class-wc-gateway-wirecard-poipia.php:125, : classes/includes/class-wc-gateway-wirecard-sepa-credit-transfer.php:125, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:129, : classes/includes/class-wc-gateway-wirecard-sofort.php:128, : classes/includes/class-wc-gateway-wirecard-unionpay-international.php:128"
config_basket_max,Maximumbedrag,: classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:201
config_basket_min,Minimumbedrag,: classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:196
config_billing_shipping,Identiek facturatie-/verzendadres.,: classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:165
config_challenge_challenge_threed,Challenge aangevraagd.,: classes/includes/class-wc-gateway-wirecard-creditcard.php:306
config_challenge_indicator,Challenge-indicator,: classes/includes/class-wc-gateway-wirecard-creditcard.php:271
config_challenge_no_challenge,Geen challenge aangevraagd.,: classes/includes/class-wc-gateway-wirecard-creditcard.php:305
config_challenge_no_preference,Geen voorkeur,: classes/includes/class-wc-gateway-wirecard-creditcard.php:304
config_creditor_city,Stad crediteur,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:168
config_creditor_city_desc,SEPA Direct Debit vereist een stad van crediteur voor de SEPA Direct Debit Mandate-pagina.,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:170
config_creditor_id,Crediteur-ID,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:156
config_creditor_name,Crediteurnaam,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:162
config_creditor_name_desc,SEPA Direct Debit vereist een crediteurnaam voor de SEPA Direct Debit Mandate-pagina.,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:164
config_email,Uw e-mailadres,: classes/admin/class-wirecard-settings.php:226
config_enable_bic,BIC ingeschakeld,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:213
config_http_password,Wachtwoord,": classes/includes/class-wc-gateway-wirecard-alipay-crossborder.php:136, : classes/includes/class-wc-gateway-wirecard-creditcard.php:234, : classes/includes/class-wc-gateway-wirecard-eps.php:134, : classes/includes/class-wc-gateway-wirecard-giropay.php:135, : classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:144, : classes/includes/class-wc-gateway-wirecard-ideal.php:140, : classes/includes/class-wc-gateway-wirecard-pay-by-bank-app.php:136, : classes/includes/class-wc-gateway-wirecard-paypal.php:138, : classes/includes/class-wc-gateway-wirecard-poipia.php:134, : classes/includes/class-wc-gateway-wirecard-sepa-credit-transfer.php:135, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:139, : classes/includes/class-wc-gateway-wirecard-sofort.php:138"
config_http_user,Gebruikersnaam,": classes/includes/class-wc-gateway-wirecard-alipay-crossborder.php:130, : classes/includes/class-wc-gateway-wirecard-creditcard.php:228, : classes/includes/class-wc-gateway-wirecard-eps.php:128, : classes/includes/class-wc-gateway-wirecard-giropay.php:129, : classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:138, : classes/includes/class-wc-gateway-wirecard-ideal.php:134, : classes/includes/class-wc-gateway-wirecard-pay-by-bank-app.php:130, : classes/includes/class-wc-gateway-wirecard-paypal.php:132, : classes/includes/class-wc-gateway-wirecard-poipia.php:128, : classes/includes/class-wc-gateway-wirecard-sepa-credit-transfer.php:129, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:133, : classes/includes/class-wc-gateway-wirecard-sofort.php:132"
config_limit_desc,Bedrag in standaard winkelvaluta.,": classes/includes/class-wc-gateway-wirecard-creditcard.php:142, : classes/includes/class-wc-gateway-wirecard-creditcard.php:148"
config_merchant_account_id,Account-ID handelaar (MAID: Merchant Account ID),": classes/includes/class-wc-gateway-wirecard-alipay-crossborder.php:107, : classes/includes/class-wc-gateway-wirecard-creditcard.php:175, : classes/includes/class-wc-gateway-wirecard-eps.php:105, : classes/includes/class-wc-gateway-wirecard-giropay.php:106, : classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:115, : classes/includes/class-wc-gateway-wirecard-ideal.php:111, : classes/includes/class-wc-gateway-wirecard-pay-by-bank-app.php:107, : classes/includes/class-wc-gateway-wirecard-paypal.php:109, : classes/includes/class-wc-gateway-wirecard-poipia.php:105, : classes/includes/class-wc-gateway-wirecard-sepa-credit-transfer.php:106, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:110, : classes/includes/class-wc-gateway-wirecard-sofort.php:109"
config_merchant_public,Public Key
