amount,Kwota,: classes/includes/class-wc-gateway-wirecard-poipia.php:263
bank_label,Bank
bic,BIC,": classes/includes/class-wc-gateway-wirecard-eps.php:183, : classes/includes/class-wc-gateway-wirecard-poipia.php:265, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:273"
birthdate_input,Date of Birth,: classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:424
canceled_payment_process,Proces płatności został anulowany.,: classes/includes/class-wc-wirecard-payment-gateway.php:201
capture_invoice_comment,Captured amount of %1 online. Transaction ID: %2.
config_additional_info,Wyślij dodatkową informację,": classes/includes/class-wc-gateway-wirecard-alipay-crossborder.php:163, : classes/includes/class-wc-gateway-wirecard-creditcard.php:207, : classes/includes/class-wc-gateway-wirecard-eps.php:167, : classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:216, : classes/includes/class-wc-gateway-wirecard-ideal.php:167, : classes/includes/class-wc-gateway-wirecard-masterpass.php:176, : classes/includes/class-wc-gateway-wirecard-paypal.php:183, : classes/includes/class-wc-gateway-wirecard-poipia.php:173, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:206, : classes/includes/class-wc-gateway-wirecard-sofort.php:159, : classes/includes/class-wc-gateway-wirecard-unionpay-international.php:176"
config_base_url,Base URL,": classes/includes/class-wc-gateway-wirecard-alipay-crossborder.php:124, : classes/includes/class-wc-gateway-wirecard-creditcard.php:157, : classes/includes/class-wc-gateway-wirecard-eps.php:128, : classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:133, : classes/includes/class-wc-gateway-wirecard-ideal.php:128, : classes/includes/class-wc-gateway-wirecard-masterpass.php:126, : classes/includes/class-wc-gateway-wirecard-paypal.php:126, : classes/includes/class-wc-gateway-wirecard-poipia.php:123, : classes/includes/class-wc-gateway-wirecard-sepa-credit-transfer.php:123, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:127, : classes/includes/class-wc-gateway-wirecard-sofort.php:126, : classes/includes/class-wc-gateway-wirecard-unionpay-international.php:126"
config_base_url_desc,Elastic engine base url. (e.g. https://api.wirecard.com),": classes/includes/class-wc-gateway-wirecard-alipay-crossborder.php:126, : classes/includes/class-wc-gateway-wirecard-creditcard.php:159, : classes/includes/class-wc-gateway-wirecard-eps.php:130, : classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:135, : classes/includes/class-wc-gateway-wirecard-ideal.php:130, : classes/includes/class-wc-gateway-wirecard-masterpass.php:128, : classes/includes/class-wc-gateway-wirecard-paypal.php:128, : classes/includes/class-wc-gateway-wirecard-poipia.php:125, : classes/includes/class-wc-gateway-wirecard-sepa-credit-transfer.php:125, : classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:129, : classes/includes/class-wc-gateway-wirecard-sofort.php:128, : classes/includes/class-wc-gateway-wirecard-unionpay-international.php:128"
config_basket_max,Maksymalna kwota,: classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:201
config_basket_min,Minimalna kwota,: classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:196
config_billing_shipping,Adres dostawy i rachunku musi być identyczny,: classes/includes/class-wc-gateway-wirecard-guaranteed-invoice-ratepay.php:165
config_creditor_city,Miasto odbiorcy,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:168
config_creditor_city_desc,SEPA Direct Debit requires a Creditor City for the SEPA Direct Debit Mandate page.,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:170
config_creditor_id,Unikalny identyfikator odbiorcy,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:156
config_creditor_name,Nazwa odbiorcy,: classes/includes/class-wc-gateway-wirecard-sepa-direct-debit.php:162
